t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.037716262975778549;10055.05236111291;4.0943670884561234e-05;0.00053556883091903274;76.905540451999286;-174.40943653929639;1.1666882176512589e-05;2.64586183858358e-05
0.038062283737024229;10058.655077397008;4.1894291322874674e-05;0.00053572449898218555;82.158606256665934;-175.72348139481821;1.2463793549195348e-05;2.6657964316101962e-05
0.038408304498269902;10062.594098346153;4.2890548625823595e-05;0.0005358946603526046;87.751983897474844;-177.0190321117224;1.3312331606668445e-05;2.6854504610585041e-05
0.038754325259515575;10066.891925270058;4.3935626977779772e-05;0.00053608027657988972;93.686444679774269;-178.29608015088596;1.4212613359079139e-05;2.7048237973865564e-05
0.039100346020761248;10071.549338013194;4.5029642093470989e-05;0.00053628136955568152;99.940280600263407;-179.55538036124727;1.516134561434662e-05;2.7239278919586661e-05
0.039446366782006928;10076.543873723322;4.6169415294459566e-05;0.00053649695704637099;106.47121883575184;-180.79838873106766;1.6152115413865575e-05;2.7427848327068616e-05
0.039792387543252601;10081.83180358899;4.7348754501460477e-05;0.00053672513955293382;113.22147274250653;-182.02712923503475;1.7176156289578596e-05;2.7614253241474523e-05
0.040138408304498274;10087.353316991777;4.8559200291579404e-05;0.00053696332559879196;120.1250008539896;-183.24400680796816;1.8223449483352934e-05;2.7798858501163385e-05
0.040484429065743947;10093.039967530327;4.9791098745042604e-05;0.00053720855424303185;127.11563468385671;-184.45158948058875;1.928395696763628e-05;2.7982053686803583e-05
0.040830449826989627;10098.823018687573;5.1034801414966148e-05;0.00053745785573296168;134.13463685798376;-185.65238434474884;2.0348768044717729e-05;2.816421913439006e-05
0.0411764705882353;10104.64122599754;5.2281777939634074e-05;0.00053770858705587561;141.13645971817104;-186.8486296921711;2.1410972950248671e-05;2.8345694401848624e-05
0.041522491349480974;10110.446803510305;5.352545811262358e-05;0.00053795868847875529;148.0919168168796;-188.04212060865146;2.2466143981847686e-05;2.852675181097001e-05
0.041868512110726647;10116.208769692534;5.4761686553343981e-05;0.00053820682663708133;154.98853631983422;-189.23407905086117;2.3512389111708476e-05;2.8707576737533444e-05
0.042214532871972327;10121.913430753279;5.5988756609768205e-05;0.00053845241408229929;161.82840532040004;-190.42507340680581;2.4550024960353036e-05;2.888825540830325e-05
0.042560553633218;10127.5623053979;5.7207071129182571e-05;0.00053869551870800781;168.62438438394901;-191.61498592249308;2.5581002527670958e-05;2.906876995952138e-05
0.042906574394463673;10133.168371945761;5.8418563247718623e-05;0.00053893670122422274;175.39615488094978;-192.80301910909884;2.6608307557328817e-05;2.9248999408901091e-05
0.043252595155709346;10138.752109256156;5.9626097726756193e-05;0.00053917684411172479;182.16753245739497;-193.98773122833123;2.7635552979345899e-05;2.9428725038900368e-05
0.043598615916955026;10144.338774713369;6.0833068778772552e-05;0.00053941703409780015;188.96580423712646;-195.16709606340726;2.8666878361000781e-05;2.9607639464221212e-05
0.043944636678200699;10149.957681658025;6.2043308585748279e-05;0.000539658530775965;195.82285848521667;-196.33858949189914;2.9707121281344836e-05;2.9785359765261185e-05
0.044290657439446372;10155.643242477623;6.3261271807132306e-05;0.00053990281111729527;202.77701426553077;-197.49931026849563;3.0762094897669395e-05;2.9961445811348222e-05
0.044636678200692045;10161.436677481341;6.4492331469543902e-05;0.00054015164245207678;209.87406345698219;-198.64614185644859;3.1838746023595116e-05;3.0135424811226742e-05
0.044982698961937718;10167.386895084839;6.5742961595348143e-05;0.00054040711967694795;217.1662315337922;-199.77595567365421;3.2944997475225852e-05;3.0306822146311582e-05
0.045328719723183399;10173.549249344444;6.7020610382063719e-05;0.00054067161121415508;224.7084451695909;-200.88584572167832;3.408918185156309e-05;3.0475196964862713e-05
0.045674740484429072;10179.981572932218;6.8333169576952088e-05;0.00054094758810268098;232.55220641263648;-201.97337363901923;3.5279112222059992e-05;3.0640179357557809e-05
0.046020761245674745;10186.737806257923;6.968808234014409e-05;0.00054123735028165272;240.73820763738658;-203.0367952977609;3.6520961784843441e-05;3.0801504733123446e-05
0.046366782006920418;10193.860385823931;7.1091257278493175e-05;0.00054154270026664263;249.28932416875475;-204.07523772684223;3.781820081941435e-05;3.0959040658311312e-05
0.046712802768166098;10201.373059926218;7.2546032238251951e-05;0.00054186463597786626;258.20565928987639;-205.08879936556812;3.9170844994242708e-05;3.1112802066763181e-05
0.047058823529411771;10209.275833408614;7.4052437821532177e-05;0.00054220313571777003;267.46289997329814;-206.07855662656817;4.0575205924525902e-05;3.126295225463738e-05
0.047404844290657444;10217.543316831036;7.560694893968957e-05;0.00054255708975266053;277.01450495575261;-207.04647321827034;4.2024223111999473e-05;3.1409789124461133e-05
0.047750865051903117;10226.127005221788;7.7202802996986894e-05;0.00054292440054510486;286.79739667864237;-207.99522260982053;4.3508327435377387e-05;3.155371825233938e-05
0.048096885813148797;10234.961147553127;7.8830836448243055e-05;0.00054330223651008383;296.74008355127995;-208.92794547817726;4.5016673330604893e-05;3.1695216091695225e-05
0.04844290657439447;10243.971111557408;8.0480680182826406e-05;0.000543687391786706;306.77167222595352;-209.84797089817738;4.653850598951064e-05;3.1834787676674096e-05
0.048788927335640143;10253.082674812082;8.2142084426711025e-05;0.00054407668444702325;316.83013062588697;-210.75853168752263;4.8064414894638488e-05;3.1972923438823439e-05
0.049134948096885817;10262.23057242267;8.3806129093988216e-05;0.00054446732159803019;326.86842372389242;-211.66250128305933;4.9587264641736054e-05;3.2110059290158608e-05
0.049480968858131497;10271.364895925139;8.546611469242095e-05;0.00054485717149800627;336.85767312994653;-212.56217331043013;5.1102674261995751e-05;3.224654318298543e-05
0.04982698961937717;10280.454473303822;8.7118008205507469e-05;0.00054524490596287683;346.78714340379497;-213.45909747199744;5.2609015145621435e-05;3.2382610213433029e-05
0.050173010380622843;10289.487019416103;8.8760416119580752e-05;0.00054563000462783801;356.66147648493319;-214.35397818024506;5.4106991493647838e-05;3.2518367243730112e-05
0.050519031141868516;10298.466471788994;9.0394149497904238e-05;0.00054601263930305756;366.49614892499125;-215.24663559006552;5.5598951161681981e-05;3.2653786990645057e-05
0.050865051903114196;10307.408486819231;9.2021528912853326e-05;0.00054639348039575047;376.31276724877699;-216.13602043786324;5.7088171947106177e-05;3.2788710276637844e-05
0.051211072664359869;10316.335720295219;9.364567298427031e-05;0.00054677349478012742;386.13580858773219;-217.02027199424572;5.8578367129963482e-05;3.2922854821518164e-05
0.051557093425605542;10325.274510077792;9.5270012712007934e-05;0.00054715380394003757;395.99168776391934;-217.89681257090569;6.0073543945817085e-05;3.3055829579522821e-05
0.051903114186851215;10334.253848677319;9.6898164285866194e-05;0.00054753563989090679;405.90994439342666;-218.76247842876563;6.157818367414844e-05;3.3187154598611527e-05
0.052249134948096895;10343.306439448967;9.8534129033286255e-05;0.00054792038975304378;415.9253828859263;-219.61369093443943;6.3097566284963524e-05;3.3316286985595611e-05
0.052595155709342568;10352.470665435792;0.00010018264403108543;0.00054830967891491254;426.07954501126886;-220.44667041333895;6.4637993833112931e-05;3.3442653348521541e-05
0.052941176470588241;10361.791848082235;0.00010184943794216077;0.00054870542374672784;436.42009015142366;-221.25768810285672;6.6206696439999809e-05;3.3565688018989479e-05
0.053287197231833915;10371.321375532872;0.00010354117521951559;0.00054910979369898305;446.99739103859395;-222.04334115964741;6.7811315853254703e-05;3.3684874771872579e-05
0.053633217993079595;10381.113023363252;0.00010526498138565358;0.00054952505439677412;457.85863616580372;-222.80082542082727;6.9459010758519252e-05;3.379978820429642e-05
0.053979238754325268;10391.216784229282;0.00010702758972334197;0.00054995330561074249;469.04062347576127;-223.52817412910935;7.1155363552840412e-05;3.3910129951209541e-05
0.054325259515570941;10401.671422830957;0.00010883428426457624;0.00055039616610226918;480.56295484196806;-224.22443050800092;7.2903347919872847e-05;3.4015754865740091e-05
0.054671280276816614;10412.497497818273;0.00011068789354613923;0.00055085447939983573;492.42335762443088;-224.88972852294444;7.4702619090918562e-05;3.4116683270988877e-05
